=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.01.23 11:33:07 =~=~=~=~=~=~=~=~=~=~=~=,,,,,
IR,Red,(approx. 2 minutes of readings),,,"(test data only, data filtering/amplification may need tweaking)"
0,0,,,,
57382,57363,,,,
68309,73296,,,,
67749,72748,,,,
67743,72761,,,,
67736,72756,,,,
67716,72761,,,,
67713,72755,,,,
67714,72766,,,,
67719,72760,,,,
67721,72768,,,,
67719,72781,,,,
67711,72768,,,,
67708,72772,,,,
67724,72785,,,,
67706,72785,,,,
67715,72786,,,,
67724,72806,,,,
67727,72790,,,,
67727,72790,,,,
67733,72794,,,,
67725,72776,,,,
67736,72777,,,,
67756,72782,,,,
67732,72782,,,,
67747,72792,,,,
67728,72779,,,,
67722,72780,,,,
67733,72762,,,,
67727,72798,,,,
67739,72775,,,,
67738,72783,,,,
67722,72798,,,,
67734,72797,,,,
67730,72791,,,,
67722,72781,,,,
67718,72814,,,,
67713,72828,,,,
67752,72813,,,,
67737,72845,,,,
67753,72812,,,,
67747,72822,,,,
67762,72808,,,,
67736,72819,,,,
67773,72805,,,,
67765,72800,,,,
67751,72796,,,,
67713,72800,,,,
67730,72817,,,,
67725,72795,,,,
67727,72808,,,,
67732,72795,,,,
67739,72805,,,,
67749,72796,,,,
67726,72812,,,,
67732,72831,,,,
67734,72811,,,,
67736,72825,,,,
67726,72835,,,,
67753,72844,,,,
67756,72846,,,,
67735,72834,,,,
67758,72836,,,,
67761,72833,,,,
67767,72831,,,,
67776,72830,,,,
67772,72816,,,,
67775,72849,,,,
67742,72832,,,,
67733,72832,,,,
67753,72829,,,,
67753,72823,,,,
67734,72822,,,,
67750,72825,,,,
67749,72800,,,,
67750,72820,,,,
67743,72821,,,,
67726,72836,,,,
67752,72837,,,,
67738,72817,,,,
67714,72826,,,,
67718,72807,,,,
67742,72819,,,,
67703,72804,,,,
67718,72801,,,,
67721,72781,,,,
67727,72789,,,,
67715,72758,,,,
67719,72730,,,,
67712,72716,,,,
