IR,Red
67774,71550
894,
67085,71788
67080,71794
67082,71774
67101,71800
101,71768
67084,71759
67095,71776
67065,71771
67108,71768
67080,71794
67085,71788
67080,71794
67082,71774
67101,71800
67085,7174
67053,71794
67009,71835
67056,71817
67032,71857
67021,71787
67012,71843
67030,71831
67040,71847
67030,71836
67038,71853
67034,71812
67058,71846
67023,71828
67069,71850
67050,71828
67050,71854
67017,71851
67042,71872
67023,71865
67033,71857
67034,71867
67038,71867
67042,71890
67018,71842
67048,71891
67026,71856
67062,71867
67034,71859
67062,71887
67023,71901
67076,71897
67029,71913
67060,71881
67005,71953
67046,71899
67022,71919
67031,71904
67085,71900
67040,71866
67058,71857
67005,71849
67046,71831
67011,71813
67015,71792
66991,71774
67001,71774
66959,71790
66978,71756
66983,71783
66976,71757
66986,71768
66981,71742
67003,71773
66950,71729
67016,71771
66976,71754
66980,71756
66987,71769
67014,71737
66974,71746
66982,71753
66969,71775
67012,71763
66964,71816
67021,71768
66966,71813
66968,71768
66979,71789
66995,71781
67008,71789
66966,71771
67008,71787
66958,71783
66992,71782
66993,71806
66989,71775
67007,71793
66988,71777
67004,71796
67001,71795
67015,71780
66990,71803
67011,71813
66983,71806
67019,71800
66993,71833
67005,71805
66982,71849
66991,71822
67024,71839
66985,71810
67033,71835
67008,71823
67002,71844
67003,71837
67015,71839
66970,71884
67005,71846
67006,71866
67019,71845
67046,71874
66992,71833
67055,71867
66986,71870
67033,71856
67007,71882
67015,71865
67014,71899
67023,71866
67013,71896
67017,71870
67030,71889
67016,71864
67038,71911
67010,71891
67052,71896
66999,71887
67019,71903
66991,71894
67006,71877
66984,71882
66962,71813
66981,71828
66964,71784
66992,71755
66957,71754
66966,71743
66953,71771
66992,71745
66953,71776
66950,71738
66942,71757
66929,71710
66979,71731
66945,71714
66998,71744
66942,71710
66978,71715
66934,71736
66972,71736
66931,71745
66971,71734
66928,71769
66946,71744
66964,71781
66957,71746
66968,71766
66967,71768
66967,71744
66941,71763
66962,71746
66961,71763
66948,71748
66970,71786
66954,71742
66995,71755
66954,71753
66980,71768
66947,71761
66997,71785
66973,71799
67005,71796
66957,71799
66969,71798
66938,71824
66963,71799
66989,71830
66972,71810
66980,71831
66979,71828
67007,71856
66965,71803
66983,71837
66975,71827
67017,71831
66974,71875
67008,71835
66984,71884
66994,71855
66973,71863
66950,71833
67019,71857
67004,71827
67041,71863
66982,71850
67008,71855
66992,71886
66997,71851
66983,71911
66998,71867
66981,71878
66991,71873
66990,71903
66998,71857
67031,71891
66993,71886
67020,71883
66977,71915
67015,71896
67009,71920
66997,71884
67018,71883
66969,71846
67002,71841
66971,71830
66980,71808
66922,71818
66944,71737
66943,71758
66926,71760
66942,71765
66947,71730
66926,71741
66932,71708
66939,71753
66929,71716
66976,71747
66917,71724
66936,71730
66926,71739
66919,71726
66924,71751
66921,71713
66921,71746
66928,71732
66936,71730
66921,71734
66978,71757
66939,71739
66944,71761
66935,71785
66954,71748
66923,71791
66958,71769
66929,71799
66933,71745
66924,71790
66928,71744
66972,71779
66937,71761
66957,71761
66930,71784
66941,71787
66902,71822
66931,71803
66956,71806
66951,71766
66973,71817
66945,71792
66976,71825
66951,71817
66965,71801
66952,71815
66963,71811
66937,71842
66939,71841
66948,71851
66933,71835
66953,71861
66941,71805
66977,71844
66956,71837
66985,71838
66960,71842
66969,71841
66941,71883
66976,71853
66947,71887
66949,71849
66936,71893
66974,71877
66971,71909
66957,71884
66981,71902
66971,71890
66992,71881
66952,71921
66993,71902
66963,71876
66973,71866
66920,71854
66936,71806
66926,71796
66927,71781
66937,71772
66907,71752
66944,71750
66894,71751
66929,71751
66886,71762
66912,71747
66895,71771
66911,71771
66920,71771
66906,71746
66926,71769
66926,71752
66929,71743
66892,71760
66938,71757
66913,71761
66909,71748
66912,71792
66906,71768
66921,71789
66912,71779
66950,71802
66907,71764
66951,71785
66911,71784
66926,71786
66919,71790
66931,71795
66913,71823
66932,71786
66917,71825
66920,71802
66910,71814
66921,71775
66939,71814
66921,71799
66940,71792
66923,71814
66942,71822
66898,71853
66946,71816
66911,71848
66925,71823
66935,71867
66933,71819
66970,71852
66929,71828
66947,71842
66918,71883
66959,71842
66953,71864
66922,71863
66932,71874
66949,71848
66959,71872
66954,71859
66960,71872
66947,71880
66957,71876
66952,71907
66963,71883
66948,71908
66936,71874
66982,71900
66943,71895
66941,71882
66899,71884
66930,71818
66882,71832
66892,71776
66899,71792
66907,71744
66936,71727
66892,71760
66911,71759
66873,71787
66900,71768
66881,71776
66895,71769
66897,71770
66879,71735
66920,71756
66891,71757
66905,71755
66872,71774
66903,71770
66889,71796
66900,71774
66909,71806
66894,71773
66930,71790
66891,71801
66913,71787
66915,71799
66923,71783
66884,71848
66897,71798
66900,71817
66882,71795
66927,71803
66913,71810
66925,71811
66885,71803
66925,71816
66886,71849
66902,71813
66914,71804
66915,71805
66935,71823
66913,71808
66935,71832
66884,71826
66929,71828
66888,71860
66926,71862
66922,71885
66924,71854
66926,71881
66913,71842
66931,71882
66916,71842
66948,71886
66918,71863
66933,71861
66929,71893
66949,71856
66900,71902
66897,71886
66939,71907
66938,71874
66959,71892
66932,71865
66979,71892
66940,71905
66935,71904
66906,71911
66928,71888
66895,71895
66910,71820
66879,71846
66901,71799
66896,71793
66867,71773
66898,71775
66889,71771
66885,71761
66880,71777
66890,71764
66862,71781
66882,71768
66861,71795
66851,71752
66896,71764
66891,71764
66882,71761
66880,71760
66877,71776
66868,71773
66873,71777
66885,71808
66887,71782
66894,71816
66883,71788
66905,71814
66869,71796
66924,71801
66850,71827
66878,71806
66888,71841
66882,71800
66891,71835
66873,71779
66917,71822
66890,71811
66901,71798
66872,71785
66922,71824
66879,71825
66912,71820
66875,71844
66899,71835
66894,71850
66884,71823
66927,71846
66892,71831
66927,71863
66895,71854
66914,71856
66890,71880
66909,71850
66883,71877
66891,71877
66908,71884
66911,71845
66918,71901
66923,71853
66930,71877
66898,71868
66910,71898
66894,71872
66938,71897
66905,71909
66900,71891
66931,71925
66891,71888
66939,71905
66903,71897
66931,71898
66900,71935
66929,71903
66919,71949
66914,71920
66927,71934
66919,71885
66934,71928
66916,71903
66951,71877
66911,71881
66918,71866
66871,71845
66890,71829
66857,71793
66895,71781
66859,71831
66860,71789
66849,71813
66876,71767
66889,71772
66870,71749
66875,71787
66823,71752
66871,71736
66851,71776
66862,71761
66849,71800
66870,71757
66857,71784
66858,71756
66899,71780
66869,71791
66884,71781
66859,71782
66877,71789
66856,71822
66870,71799
66879,71823
66868,71803
66870,71834
66858,71785
66904,71814
66865,71817
66881,71810
66869,71810
66876,71806
66841,71833
66880,71804
66870,71841
66883,71825
66879,71845
66869,71797
66901,71828
66885,71834
66897,71844
66873,71856
66887,71863
66871,71889
66880,71868
66847,71901
66894,71872
66903,71899
66876,71876
66912,71890
66891,71890
66933,71905
66894,71860
66930,71884
66895,71891
66923,71898
66891,71909
66887,71895
66888,71944
66899,71900
66914,71923
66914,71914
66923,71905
66894,71904
66924,71908
66890,71955
66902,71917
66874,71959
66903,71935
66911,71961
66906,71922
66944,71962
66907,71920
66918,71955
66908,71917
66952,71981
66920,71957
66943,71949
66900,71981
66922,71965
66916,71977
66916,71985
66920,71959
66892,71915
66916,71914
66888,71857
66901,71870
66851,71851
66881,71866
66818,71853
66855,71819
66847,71826
66855,71792
66882,71838
66863,71821
66851,71800
66857,71806
66875,71815
66862,71840
66840,71804
66838,71808
66861,71808
66843,71814
66867,71812
66849,71829
66863,71811
66867,71844
66859,71806
66859,71820
66856,71828
66884,71844
66847,71861
66866,71859
66859,71848
66867,71843
66895,71881
66871,71845
66912,71832
66879,71871
66894,71863
66853,71851
66855,71880
66872,71884
66849,71858
66865,71893
66877,71851
66892,71909
66849,71869
66907,71912
66859,71890
66885,71884
66875,71883
66915,71906
66886,71896
66883,71903
66894,71932
66860,71900
66886,71930
66879,71920
66886,71938
66880,71889
66889,71924
66889,71903
66919,71915
66893,71940
66916,71935
66872,71934
66896,71935
66872,71934
66880,71924
66888,71956
66885,71925
66901,71949
66870,71915
66914,71934
66913,71944
66891,71959
66878,71958
66889,71963
66892,72000
66885,71969
66911,71969
66890,71958
66903,71969
66894,71942
66929,71933
66863,71946
66878,71932
66852,71937
66880,71864
66854,71868
66833,71847
66863,71865
66843,71829
66866,71835
66853,71837
66874,71857
66848,71832
66860,71843
66833,71844
66842,71838
66849,71862
66843,71821
66848,71848
66841,71812
66871,71846
66851,71850
66872,71849
66830,71873
66845,71864
66866,71902
66851,71871
66853,71893
66869,71851
66845,71886
66847,71860
66888,71881
66854,71848
66884,71889
66824,71926
66853,71884
66857,71924
66849,71896
66869,71905
66851,71870
66873,71922
66851,71885
66866,71890
66864,71912
66879,71905
66828,71924
66866,71895
66850,71952
66865,71904
66875,71941
66858,71907
66889,71939
66859,71921
66884,71938
66857,71966
66854,71935
66859,71984
66880,71945
66878,71960
66854,71932
66880,71944
66870,71967
66905,71958
66856,71968
66894,71959
66883,72013
66877,71951
66905,71966
66874,71946
66893,71967
66889,71992
66908,72003
66861,72010
66869,71977
66870,72012
66892,71986
66912,72025
66883,71974
66908,72021
66883,72002
66901,71980
66861,71994
66901,71958
66836,71960
66845,71923
66874,71916
66825,71888
66829,71889
66835,71885
66850,71890
66800,71850
66845,71869
66814,71856
66852,71856
66822,71863
66844,71845
66822,71869
66833,71836
66864,71857
66809,71832
66856,71865
66808,71864
66839,71852
66826,71891
66829,71852
66869,71843
66838,71864
66870,71893
66814,71872
66849,71885
66801,71909
66838,71894
66822,71911
66822,71864
66863,71908
66821,71891
66852,71881
66830,71905
66858,71908
66823,71898
66860,71896
66830,71917
66835,71901
66852,71920
66828,71900
66861,71927
66829,71900
66869,71897
66837,71920
66867,71932
66848,71941
66856,71954
66826,71954
66848,71938
66821,71973
66845,71939
66860,71960
66839,71925
66866,71939
66860,71935
66848,71958
66838,71972
66874,71945
66869,71985
66835,71965
66862,71985
66849,71953
66868,71987
66866,71964
66888,71980
66847,71968
66892,71965
66871,71988
66852,71961
66834,72014
66861,71979
66872,72022
66840,71975
66883,72021
66869,71973
66903,72018
66861,72003
66884,72030
66847,72041
